m_id,m_watchmode_id,m_imdb,m_tmdb,m_title,m_plot,m_runtime,m_viewer_rating,m_release_year,m_review_count,cr_id
1,1230157,tt0103994,18183,Like Water for Chocolate,"When tradition prevents her from marrying the man she loves, a young woman discovers she has a unique talent for cooking.",6300,7.1,1992,173,1
2,1589918,tt10872600,634649,Spider-Man: No Way Home,"With Spider-Man&apos s identity now revealed, Peter asks Doctor Strange for help. When a spell goes wrong, dangerous foes from other worlds start to appear.",8880,8.2,2021,6163,2
3,1496273,tt1160419,438631,Dune,"Paul Atreides arrives on Arrakis after his father accepts the stewardship of the dangerous planet. However, chaos ensues after a betrayal as forces clash to control melange, a precious resource.",9300,8,2021,5971,2
5,1592164,tt4761112,644583,The Mauritanian,Mohamedou Ould Slahi fights for freedom after being detained and imprisoned without charge by the U.S. Government for years.,7740,7.5,2021,379,4
6,1617655,tt12888462,682110,My Octopus Teacher,"A filmmaker forges an unusual friendship with an octopus living in a South African kelp forest, learning as the animal shares the mysteries of her world.",5100,8.1,2020,673,5
7,1612493,tt12361974,791373,Zack Snyder's Justice League,"Determined to ensure that Superman&apos s ultimate sacrifice wasn&apos t in vain, Bruce Wayne recruits a team of metahumans to protect the world from an approaching threat of catastrophic proportions.",14520,7.9,2021,8123,3
8,1567837,tt9376612,566525,Shang-Chi and the Legend of the Ten Rings,"Shang-Chi, the master of weaponry-based Kung Fu, is forced to confront his past after being drawn into the Ten Rings organization.",7920,7.4,2021,2528,2
9,1534152,tt6264654,550988,Free Guy,"When Guy, a bank teller, learns that he is a non-player character in a bloodthirsty, open-world video game, he goes on to become the hero of the story and takes the responsibility of saving the world.",6900,7.1,2021,2192,2
10,1501613,tt3480822,497698,Black Widow,Natasha Romanoff confronts the darker parts of her ledger when a dangerous conspiracy with ties to her past arises.,8040,6.6,2021,3053,2
11,1496510,tt6334354,436969,The Suicide Squad,"Supervillains Harley Quinn, Bloodsport, Peacemaker, and a collection of nutty cons at Belle Reve prison join the super-secret, super-shady Task Force X as they are dropped off at the remote, enemy-infused island of Corto Maltese.",7920,7.2,2021,3538,4
12,1490260,tt9032400,524434,Eternals,"The saga of the Eternals, a race of immortal beings who lived on Earth and shaped its history and civilizations.",9360,6.3,2021,3728,2
13,157269,tt2382320,370172,No Time to Die,"James Bond has left active service. His peace is short-lived when Felix Leiter, an old friend from the CIA, turns up asking for help, leading Bond onto the trail of a mysterious villain armed with dangerous new technology.",9780,7.3,2021,4189,2
14,1618750,tt2953050,568124,Encanto,"An extraordinary family, the Madrigals, live hidden in the mountains of Colombia, in a magical house called an Encanto. The magic of the Encanto has blessed every child in the family with a unique gift - every child except one, Mi...",6120,7.2,2021,1230,6
15,1586906,tt7097896,580489,Venom: Let There Be Carnage,"Eddie Brock attempts to reignite his career by interviewing serial killer Cletus Kasady, who becomes the host of the symbiote Carnage and escapes prison after a failed execution.",5820,5.9,2021,1594,2
16,1586886,tt10838180,624860,The Matrix Resurrections,"Return to a world of two realities: one, everyday life  the other, what lies behind it. To find out if his reality is a construct, to truly know himself, Mr. Anderson will have to choose to follow the white rabbit once more.",8880,5.6,2021,5796,4
17,1583847,tt7888964,615457,Nobody,"A docile family man slowly reveals his true character after his house gets burgled by two petty thieves, which, coincidentally, leads him into a bloody war with a Russian crime boss.",5520,7.4,2021,2513,4
18,1580628,tt5116302,606856,Togo,"The story of Togo, the sled dog who led the 1925 serum run despite being considered too small and weak to lead such an intense race.",6780,7.9,2019,457,6
19,1515637,tt8332922,520763,A Quiet Place Part II,"Following the events at home, the Abbott family now face the terrors of the outside world. Forced to venture into the unknown, they realize the creatures that hunt by sound are not the only threats lurking beyond the sand path.",5820,7.2,2020,1842,4
20,1510060,tt3228774,337404,Cruella,"During the 1970s London punk rock revolution, young grifter Estella transforms herself into the raucous, revenge-bent Cruella de Vil.",8040,7.3,2021,2043,7
21,1318351,tt7991608,512195,Red Notice,An Interpol agent successfully tracks down the world&apos s most wanted art thief with help from a rival thief. But nothing is as it seems as a series of double-crosses ensues.,7080,6.3,2021,1846,8
22,1583797,tt9777666,588228,The Tomorrow War,A family man is drafted to fight in a future war where the fate of humanity relies on his ability to confront the past.,8280,6.6,2021,4206,8
23,1553969,tt4513678,425909,Ghostbusters: Afterlife,"When a single mom and her two kids arrive in a small town, they begin to discover their connection to the original Ghostbusters and the secret legacy their grandfather left behind.",7440,7,2021,2060,2
24,1150091,tt5034838,399566,Godzilla vs. Kong,The epic next chapter in the cinematic Monsterverse pits two of the greatest icons in motion picture history against each other--the fearsome Godzilla and the mighty Kong--with humanity caught in the balance.,6780,6.3,2021,2240,2
25,1630818,tt11127680,807196,Boiling Point,Enter the relentless pressure of a restaurant kitchen as a head chef wrangles his team on the busiest day of the year.,5520,7.5,2021,278,1
27,1590821,tt11083552,637649,Wrath of Man,A mysteriously stoic character is hired as a security guard by a cash truck company responsible for transporting a lot of money around Los Angeles each week.,7140,7.1,2021,1505,10
28,1560906,tt0993840,503736,Army of the Dead,"Following a zombie outbreak in Las Vegas, a group of mercenaries take the ultimate gamble, venturing into the quarantine zone to pull off the greatest heist ever attempted.",8880,5.8,2021,4149,4
29,1559743,tt0293429,460465,Mortal Kombat,MMA fighter Cole Young seeks out Earth&apos s greatest champions in order to stand against the enemies of Outworld in a high stakes battle for the universe.,6600,6.1,2021,2792,4
30,1195601,tt0870154,451048,Jungle Cruise,Based on Disneyland&apos s theme park ride where a small riverboat takes a group of travelers through a jungle filled with dangerous animals and reptiles but with a supernatural element.,7620,6.6,2021,1285,2
31,1623442,tt10366460,776503,CODA,"As a CODA (Child of Deaf Adults) Ruby is the only hearing person in her deaf family. When the family&apos s fishing business is threatened, Ruby finds herself torn between pursuing her passion at Berklee College of Music and her fear o...",6660,8,2021,718,4
32,1611147,tt10954652,631843,Old,"A vacationing family discovers that the secluded beach where they&apos re relaxing for a few hours is somehow causing them to age rapidly, reducing their entire lives into a single day.",6480,5.8,2021,2278,2
33,1584535,tt4244994,617653,The Last Duel,The Knight Jean de Carrouges must settle the dispute over his wife Marguerite by challenging his former friend to a duel to the death.,9120,7.3,2021,1256,4
35,1576133,tt7740496,597208,Nightmare Alley,A grifter working his way up from low-ranking carnival worker to lauded psychic medium matches wits with a psychologist bent on exposing him.,9000,7,2021,917,4
36,1563088,tt9770150,581734,Nomadland,"A woman in her sixties, after losing everything in the Great Recession, embarks on a journey through the American West, living as a van-dwelling modern-day nomad.",6420,7.3,2020,1170,2
37,1608802,tt11214590,644495,House of Gucci,"When Patrizia Reggiani, an outsider from humble beginnings, marries into the Gucci family, her unbridled ambition begins to unravel their legacy and triggers a reckless spiral of betrayal, decadence, revenge, and ultimately...murder.",9480,6.6,2021,1061,4
38,1511201,tt8637428,565310,The Farewell,"A Chinese family discovers their grandmother has only a short while left to live and decide to keep her in the dark, scheduling a wedding to gather before she dies.",6000,7.5,2019,357,9
39,1561997,tt9639470,576845,Last Night in Soho,"Aspiring fashion designer Eloise is mysteriously able to return to 1960s London, where she encounters dazzling wannabe singer Sandie. But the glamour is not as it seems, and the dreams of the past crack and splinter into something...",6960,7,2021,1132,4
40,1500837,tt6856242,476669,The King's Man,"In the early years of the 20th century, the Kingsman agency is formed to stand against a cabal plotting a war to wipe out millions.",7860,6.3,2021,1124,11
41,1496503,tt6398184,535544,Downton Abbey,The Crawleys and their servants prepare to host King George V and Queen Mary at Downton Abbey.,7320,7.4,2019,505,2
42,1451009,tt5109280,527774,Raya and the Last Dragon,"In a realm known as Kumandra, a re-imagined Earth inhabited by an ancient civilization, a warrior named Raya is determined to find the last dragon.",6420,7.3,2021,1342,6
43,1176727,tt6333060,432976,Icarus,"When Bryan sets out to uncover the truth about doping in sports, a chance meeting with a Russian scientist transforms his story from a personal experiment into a geopolitical thriller.",7200,7.9,2017,137,12
44,1450054,tt4154796,299534,Avengers: Endgame,"After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos&apos  actions and restore balance to the universe.",10860,8.4,2019,9568,2
45,1295258,tt6751668,496243,Parasite,Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.,7920,8.5,2019,3665,4
46,1286003,tt7131622,466272,Once Upon a Time… in Hollywood,"As Hollywood&apos s Golden Age is winding down during the summer of 1969, television actor Rick Dalton and his stunt double Cliff Booth endeavor to achieve lasting success in Hollywood while meeting several colorful characters along th...",9660,7.6,2019,5886,4
47,1193690,tt7286456,475557,Joker,"Arthur Fleck, a party clown and a failed stand-up comedian, leads an impoverished life with his ailing mother. However, when society shuns him and brands him as a freak, he decides to embrace the life of chaos in Gotham City.",7320,8.4,2019,11617,4
48,1130468,tt5433138,385128,F9,Dom and the crew must take on an international terrorist who turns out to be Dom and Mia&apos s estranged brother.,8580,5.2,2021,2452,2
49,138100,tt4154756,299536,Avengers: Infinity War,The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.,8940,8.4,2018,4637,2
50,1578516,tt9893250,601666,I Care a Lot,A crooked legal guardian who drains the savings of her elderly wards meets her match when a woman she tries to swindle turns out to be more than she first appears.,7080,6.4,2020,4562,3
51,1566260,tt6723592,577922,Tenet,"Armed with only the word &quot Tenet,&quot  and fighting for the survival of the entire world, CIA operative, The Protagonist, journeys through a twilight world of international espionage on a global mission that unfolds beyond real time.",9000,7.3,2020,5704,2
52,1487859,tt8946378,546554,Knives Out,"A detective investigates the death of the patriarch of an eccentric, combative family.",7800,7.9,2019,2897,2
53,1514676,tt5198068,441130,Wolfwalkers,A young apprentice hunter and her father journey to Ireland to help wipe out the last wolf pack. But everything changes when she befriends a free-spirited girl from a mysterious tribe rumored to transform into wolves by night.,6180,8,2020,245,2
54,1495244,tt7069210,423108,The Conjuring: The Devil Made Me Do It,"Arne Cheyenne Johnson stabs and murders his landlord, claiming to be under demonic possession while Ed and Lorraine Warren investigate the case and try to prove his innocence.",6720,6.3,2021,1378,4
55,1486125,tt8847712,542178,The French Dispatch,A love letter to journalists set in an outpost of an American newspaper in a fictional twentieth century French city that brings to life a collection of stories published in &quot The French Dispatch Magazine&quot .,6420,7.1,2021,674,4
56,1357727,tt4972582,381288,Split,Three girls are kidnapped by a man with a diagnosed 23 distinct personalities. They must try to escape before the apparent emergence of a frightful new 24th.,7020,7.3,2016,1204,2
57,1237798,tt3262342,339877,Loving Vincent,"In a story depicted in oil painted animation, a young man comes to the last hometown of painter Vincent van Gogh to deliver the troubled artist&apos s final letter and ends up investigating his final days there.",5640,7.8,2017,251,2
58,1137596,tt1950186,359724,Ford v Ferrari,American car designer Carroll Shelby and driver Ken Miles battle corporate interference and the laws of physics to build a revolutionary race car for Ford in order to defeat Ferrari at the 24 Hours of Le Mans in 1966.,9120,8.1,2019,1709,2
119,1579852,tt9243804,559907,The Green Knight,A fantasy retelling of the medieval story of Sir Gawain and the Green Knight.,7800,6.6,2021,1946,2
59,178503,tt2380307,354912,Coco,"Aspiring musician Miguel, confronted with his family&apos s ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer.",6300,8.4,2017,1436,6
60,1471728,tt0451279,297762,Wonder Woman,"When a pilot crashes and tells of conflict in the outside world, Diana, an Amazonian warrior in training, leaves home to fight a war, discovering her full powers and true destiny.",8460,7.3,2017,2508,2
61,132421,tt1477834,297802,Aquaman,"Arthur Curry, the human-born heir to the underwater kingdom of Atlantis, goes on a quest to prevent a war between the worlds of ocean and land.",8580,6.8,2018,4457,2
62,1455450,tt1270797,335983,Venom,"A failed reporter is bonded to an alien entity, one of many symbiotes who have invaded Earth. But the being takes a liking to Earth and decides to protect it.",6720,6.6,2018,3979,2
63,1431650,tt3501632,284053,Thor: Ragnarok,"Imprisoned on the planet Sakaar, Thor must race against time to return to Asgard and stop Ragnarök, the destruction of his world, at the hands of the powerful and ruthless villain Hela.",7800,7.9,2017,1842,2
64,1359310,tt2527336,181808,Star Wars: The Last Jedi,Rey develops her abilities with the help of Luke Skywalker as the Resistance prepares for battle against the First Order.,9120,6.9,2017,6904,2
65,1359294,tt2527338,181812,Star Wars: The Rise of Skywalker,The surviving Resistance faces the First Order once again in the conclusion of the Skywalker saga.,8460,6.4,2019,7897,2
66,1357317,tt4633694,324857,Spider-Man: Into the Spider-Verse,Teen Miles Morales becomes the Spider-Man of his universe and must join with five spider-powered individuals from other dimensions to stop a threat for all realities.,7020,8.4,2018,2265,6
68,1357314,tt6320628,429617,Spider-Man: Far From Home,"Peter Parker, the beloved superhero Spider-Man, faces four destructive elemental monsters while on holiday in Europe. Soon, he receives help from Mysterio, a fellow hero with mysterious origins.",7740,7.4,2019,2261,6
69,1317301,tt1677720,333339,Ready Player One,"When the creator of a virtual reality called the OASIS dies, he makes a posthumous challenge to all OASIS users to find his Easter Egg, which will give the finder his fortune and control of his world.",8400,7.4,2018,1943,2
70,1193411,tt4425200,324552,John Wick: Chapter 2,"After returning to the criminal underworld to repay a debt, John Wick discovers that a large bounty has been put on his life.",7320,7.4,2017,1086,4
71,1232710,tt3315342,263115,Logan,"In a future where mutants are nearly extinct, an elderly and weary Logan leads a quiet life. But when Laura, a mutant child pursued by scientists, comes to him for help, he must get her to safety.",8220,8.1,2017,1820,4
72,1187106,tt1396484,346364,It,"In the summer of 1989, a group of bullied kids band together to destroy a shape-shifting monster, which disguises itself as a clown and preys on the children of Derry, their small Maine town.",8100,7.3,2017,2194,4
73,1154249,tt3896198,283995,Guardians of the Galaxy Vol. 2,"The Guardians struggle to keep together as a team while dealing with their personal family issues, notably Star-Lord&apos s encounter with his father, the ambitious celestial being Ego.",8160,7.6,2017,1208,2
74,1153138,tt6966692,490132,Green Book,A working-class Italian-American bouncer becomes the driver for an African-American classical pianist on a tour of venues through the 1960s American South.,7800,8.2,2018,1841,2
75,1146471,tt5052448,419430,Get Out,"A young African-American visits his white girlfriend&apos s parents for the weekend, where his simmering uneasiness about their reception of him eventually reaches a boiling point.",6240,7.8,2017,2105,11
76,1112684,tt5013056,374720,Dunkirk,"Allied soldiers from Belgium, the British Commonwealth and Empire, and France are surrounded by the German Army and evacuated during a fierce battle in World War II.",6360,7.8,2017,2782,2
77,194188,tt5463162,383498,Deadpool 2,"Foul-mouthed mutant mercenary Wade Wilson (a.k.a. Deadpool) assembles a team of fellow mutant rogues to protect a young boy with abilities from the brutal, time-traveling cyborg Cable.",7140,7.6,2018,1460,1
78,167043,tt4154664,299537,Captain Marvel,Carol Danvers becomes one of the universe&apos s most powerful heroes when Earth is caught in the middle of a galactic war between two alien races.,7380,6.8,2019,7417,2
79,156751,tt1727824,424694,Bohemian Rhapsody,"With his impeccable vocal abilities, Freddie Mercury and his rock band, Queen, achieve superstardom. However, amidst his skyrocketing success, he grapples with his ego, sexuality and a fatal illness.",8040,7.9,2018,3579,2
80,153801,tt1856101,335984,Blade Runner 2049,"Young Blade Runner K&apos s discovery of a long-buried secret leads him to track down former Blade Runner Rick Deckard, who&apos s been missing for thirty years.",9840,8,2017,2642,2
81,153257,tt1825683,284054,Black Panther,"T&apos Challa, heir to the hidden but advanced kingdom of Wakanda, must step forward to lead his people into a new future and must confront a challenger from his country&apos s past.",8040,7.3,2018,3502,2
82,139792,tt3890160,339403,Baby Driver,"Coerced into working for a crime boss, a young getaway driver must face the music when a doomed heist threatens his life, love, and freedom.",6780,7.5,2017,1384,2
83,110429,tt6644200,447332,A Quiet Place,A family struggles for survival in a world invaded by alien creatures with ultra-sensitive hearing.,5400,7.5,2018,3404,4
84,1629773,tt14152756,801058,Seaspiracy,"Passionate about ocean life, a filmmaker sets out to document the harm that humans do to marine species - and uncovers alarming global corruption.",5340,8.1,2021,430,3
85,1612212,tt11657662,666243,The Witcher: Nightmare of the Wolf,"Escaping from poverty to become a witcher, Vesemir slays monsters for coin and glory, but when a new menace rises, he must face the demons of his past.",4980,7.2,2021,294,3
86,1583730,tt9620288,614917,King Richard,A look at how tennis superstars Venus and Serena Williams became who they are after the coaching from their father Richard.,8640,7.5,2021,615,2
87,1583605,tt9421570,567748,The Guilty,A demoted police officer assigned to a call dispatch desk is conflicted when he receives an emergency phone call from a kidnapped woman.,5400,6.3,2021,1313,10
88,1579749,tt7979580,501929,The Mitchells vs. the Machines,"A quirky, dysfunctional family&apos s road trip is upended when they find themselves in the middle of the robot apocalypse and suddenly become humanity&apos s unlikeliest last hope.",6840,7.6,2021,860,8
89,1578757,tt10016180,602269,The Little Things,"Kern County Deputy Sheriff Joe Deacon is sent to Los Angeles for what should have been a quick evidence-gathering assignment. Instead, he becomes embroiled in the search for a serial killer who is terrorizing the city.",7680,6.3,2021,1482,4
90,1526288,tt2948372,508442,Soul,"Joe is a middle-school band teacher whose life hasn&apos t quite gone the way he expected. His true passion is jazz. But when he travels to another realm to help someone find their passion, he soon discovers what it means to have soul.",6000,8,2020,1849,9
91,1513054,tt8367814,522627,The Gentlemen,"An American expat tries to sell off his highly profitable marijuana empire in London, triggering plots, schemes, bribery and blackmail in an attempt to steal his domain out from under him.",6780,7.8,2019,1807,4
92,1181843,tt1321510,467909,In the Heights,"In Washington Heights, a sympathetic New York bodega owner saves every penny every day as he imagines and sings about a better life.",8580,7.3,2021,543,13
93,1615856,tt11271038,718032,Licorice Pizza,"The story of Alana Kane and Gary Valentine growing up, running around and going through the treacherous navigation of first love in the San Fernando Valley, 1973.",7980,7.1,2021,893,4
94,1451390,tt7905466,543580,They Shall Not Grow Old,A documentary about World War I with never-before-seen footage to commemorate the centennial of the end of the war.,5940,8.2,2018,313,2
95,1431933,tt5027774,359940,"Three Billboards Outside Ebbing, Missouri",A mother personally challenges the local authorities to solve her daughter&apos s murder when they fail to catch the culprit.,6900,8.1,2017,1404,4
96,1506279,tt2584384,515001,Jojo Rabbit,"A young German boy in the Hitler Youth, whose hero and imaginary friend is the country&apos s dictator, is shocked to discover that his mother is hiding a Jewish girl in their home.",6480,7.9,2019,1845,2
97,1484247,tt8772262,530385,Midsommar,A couple travels to Northern Europe to visit a rural hometown&apos s fabled Swedish mid-summer festival. What begins as an idyllic retreat quickly devolves into an increasingly violent and bizarre competition at the hands of a pagan cult.,8880,7.1,2019,4084,4
98,1418734,tt5580390,399055,The Shape of Water,"At a top secret research facility in the 1960s, a lonely janitor forms a unique relationship with an amphibious creature that is being held in captivity.",7380,7.3,2017,1784,4
100,1353638,tt3778644,348350,Solo: A Star Wars Story,"During an adventure in the criminal underworld, Han Solo meets his future co-pilot Chewbacca and Lando Calrissian years before joining the Rebel Alliance.",8100,6.9,2018,2631,2
101,1302001,tt1790809,166426,Pirates of the Caribbean: Dead Men Tell No Tales,Captain Jack Sparrow searches for the Trident of Poseidon to rule the sea while being pursued by old rival Captain Salazar and a crew of deadly ghosts who have escaped from the Devil&apos s Triangle.,7740,6.5,2017,768,2
102,1343132,tt0448115,287947,Shazam!,A newly fostered young boy in search of his mother instead finds unexpected super powers and soon gains a powerful enemy.,7920,7,2019,2215,2
103,1257215,tt4912910,353081,Mission: Impossible - Fallout,"A group of terrorists plans to detonate three plutonium cores for a simultaneous nuclear attack on different cities. Ethan Hunt, along with his IMF team, sets out to stop the carnage.",8820,7.7,2018,1822,14
104,1207603,tt3731562,293167,Kong: Skull Island,"After the Vietnam war, a team of scientists explores an uncharted island in the Pacific, venturing into the domain of the mighty Kong and must fight to escape a primal Eden.",7080,6.7,2017,1108,2
