m_id,m_watchmode_id,m_imdb,m_tmdb,m_title,m_plot,m_runtime,m_viewer_rating,m_release_year,m_review_count,cr_id
105,1205325,tt4649466,343668,Kingsman: The Golden Circle,"After the Kingsman&apos s headquarters is destroyed and the world is held hostage, an allied spy organization in the United States is discovered. These two elite secret agencies must band together to defeat a common enemy.",8460,6.7,2017,835,4
106,1196323,tt0974015,141052,Justice League,"Steppenwolf and his Parademons return after eons to capture Earth. However, Batman seeks the help of Wonder Woman to recruit and assemble Flash, Cyborg and Aquaman to fight the powerful new enemy.",7200,6.1,2017,2338,2
107,1195870,tt4881806,351286,Jurassic World: Fallen Kingdom,"When the island&apos s dormant volcano begins roaring to life, Owen and Claire mount a campaign to rescue the remaining dinosaurs from this extinction-level event.",7680,6.1,2018,1933,2
108,1195407,tt2283362,353486,Jumanji: Welcome to the Jungle,"Four teenagers are sucked into a magical video game, and the only way they can escape is to work together to finish the game.",7140,7,2017,1011,2
109,1193410,tt6146586,458156,John Wick: Chapter 3 - Parabellum,"John Wick is on the run after killing a member of the international assassins&apos  guild, and with a $14 million price tag on his head, he is the target of hit men and women everywhere.",7800,7.4,2019,2523,4
110,1163858,tt7784604,493922,Hereditary,A grieving family is haunted by tragic and disturbing occurrences.,7620,7.3,2018,3885,4
111,151959,tt2737304,405774,Bird Box,"Five years after an ominous unseen presence drives most of society to suicide, a mother and her two children make a desperate bid to reach safety.",7440,6.6,2018,2993,3
112,145560,tt2771200,321612,Beauty and the Beast,"A brave, beautiful, and brilliant young woman is imprisoned by a beast in his castle. Despite her fears, she learns to see beyond the beast&apos s hideous exterior and realize the gentle heart of the true prince within him.",7740,7.1,2017,1274,2
113,130818,tt5095030,363088,Ant-Man and the Wasp,"As Scott Lang balances being both a superhero and a father, Hope van Dyne and Dr. Hank Pym present an urgent new mission that finds the Ant-Man fighting alongside The Wasp to uncover secrets from their past.",7080,7,2018,1082,2
114,130381,tt2798920,300668,Annihilation,"A biologist signs up for a dangerous, secret expedition in which the laws of nature don&apos t apply.",6900,6.8,2018,2254,3
115,111286,tt1517451,332562,A Star Is Born,A musician helps a young singer find fame as age and alcoholism send his own career into a downward spiral.,8160,7.6,2018,2884,4
116,1592429,tt11233960,645886,The Unforgivable,A woman is released from prison after serving a sentence for a violent crime and re-enters a society that refuses to forgive her past.,6720,7.1,2021,951,3
117,1586594,tt9243946,559969,El Camino: A Breaking Bad Movie,"Fugitive Jesse Pinkman runs from his captors, the law, and his past.",7320,7.3,2019,1953,10
118,1585238,tt8228288,619264,The Platform,"In a prison where inmates are fed on a descending platform, those on the upper levels take more than their fair share while those below are left to starve on scraps and one man decides to change the system.",5640,7,2019,1276,3
121,1555123,tt6857376,458220,Palmer,An ex-convict strikes up a friendship with a boy from a troubled home.,6600,7.3,2021,414,4
122,1536551,tt3811906,619778,Malignant,"Madison is paralyzed by shocking visions of grisly murders, and her torment worsens as she discovers that these waking dreams are in fact terrifying realities.",6660,6.2,2021,2299,4
123,1518160,tt5727208,473033,Uncut Gems,"With his debts mounting and angry collectors closing in, a fast-talking New York City jeweler risks everything in hope of staying afloat and alive.",8100,7.4,2019,2636,3
124,1505741,tt8936646,545609,Extraction,"Tyler Rake, a fearless black market mercenary, embarks on the most deadly extraction of his career when he&apos s enlisted to rescue the kidnapped son of an imprisoned international crime lord.",6960,6.8,2020,3208,3
125,1450944,tt7653254,492188,Marriage Story,A stage director and his actor wife struggle through a grueling divorce that pushes them to their personal and creative extremes. Noah Baumbach&apos s incisive and compassionate look at a marriage breaking up and a family staying toget...,8220,7.9,2019,1421,6
126,1148879,tt6823368,450465,Glass,"Security guard David Dunn uses his supernatural abilities to track Kevin Wendell Crumb, a disturbed man who has twenty-four personalities.",7740,6.6,2019,2110,2
127,1494390,tt7713068,495764,Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),"After splitting with the Joker, Harley Quinn joins superheroines Black Canary, Huntress, and Renee Montoya to save a young girl from an evil crime lord.",6540,6.1,2020,2716,4
128,1469674,tt5362988,395834,Wind River,"A wildlife officer, who is haunted by a tragedy that happened because of him, teams up with an FBI agent in solving a murder of a young woman on a Wyoming Native American reservation and hopes to get redemption from his past regrets.",6420,7.7,2017,843,1
129,1461946,tt3450958,281338,War for the Planet of the Apes,"After the apes suffer unimaginable losses, Caesar wrestles with his darker instincts and begins his own mythic quest to avenge his kind.",8400,7.4,2017,1022,2
130,1471731,tt7126948,464052,Wonder Woman 1984,"Wonder Woman finds herself battling two opponents, Maxwell Lord, a shrewd entrepreneur, and Barbara Minerva, a friend-turned-foe. Meanwhile, she also ends up crossing paths with her love interest.",9060,5.4,2020,7344,2
131,1452255,tt6857112,458723,Us,"In order to get away from their busy lives, the Wilson family takes a vacation to Santa Cruz, California. At night, four strangers break into Adelaide&apos s childhood home. The family is shocked to find out that the intruders look lik...",6960,6.8,2019,3607,4
132,1438469,tt1979376,301528,Toy Story 4,"When a new toy called &quot Forky&quot  joins Woody and the gang, a road trip alongside old and new friends reveals how big the world can be for a toy.",6000,7.6,2019,1464,6
133,1403456,tt6105098,420818,The Lion King,"After the murder of his father, a young lion prince flees his kingdom only to learn the true meaning of responsibility and bravery.",7080,6.8,2019,3136,6
134,1395467,tt1485796,316029,The Greatest Showman,Celebrates the birth of show business and tells of a visionary who rose from nothing to create a spectacle that became a worldwide sensation.,6300,7.5,2017,2087,2
135,1381145,tt7533152,491480,The Boy Who Harnessed the Wind,"Against all the odds, a thirteen-year-old boy in Malawi invents an unconventional way to save his family and village from famine.",6780,7.6,2019,215,8
137,1263028,tt2396589,414425,Mudbound,"Two men return home from World War II to work on a farm in rural Mississippi, where they struggle to deal with racism and adjusting to life after war.",8040,7.4,2017,177,1
138,1219440,tt4925292,391713,Lady Bird,"A fiercely independent teenager tries to make her own way in the world while wanting to get out of her hometown of Sacramento, California and to get away from her complicated mother and recently-unemployed father.",5640,7.4,2017,942,4
139,1195406,tt7975244,512200,Jumanji: The Next Level,"In Jumanji: The Next Level, the gang is back but the game has changed. As they return to rescue one of their own, the players will have to brave parts unknown from arid deserts to snowy mountains, to escape the world&apos s most danger...",7380,6.7,2019,1029,2
140,1187767,tt7349950,474350,It Chapter Two,"Twenty-seven years after their first encounter with the terrifying Pennywise, the Losers Club have grown up and moved away, until a devastating phone call brings them back.",10140,6.5,2019,2471,4
141,1182575,tt3606756,260513,Incredibles 2,The Incredibles family takes on a new mission which involves a change in family roles: Bob Parr (Mr. Incredible) must manage the house while his wife Helen (Elastigirl) goes out to save the world.,7080,7.5,2018,1145,2
142,165399,tt5726616,398818,Call Me by Your Name,"It&apos s the summer of 1983, and 17-year-old Elio is spending the days with his family at their villa in Lombardy, Italy. He soon meets Oliver, who&apos s working as an intern for Elio&apos s father. They discover the heady beauty of awakening ...",7920,7.8,2017,1301,2
143,122224,tt0437086,399579,Alita: Battle Angel,"A deactivated cyborg&apos s revived, but can&apos t remember anything of her past and goes on a quest to find out who she is.",7320,7.3,2019,2970,2
144,1129889,tt4123430,338952,Fantastic Beasts: The Crimes of Grindelwald,"Gellert Grindelwald plans to raise an army of wizards to rule over non-magical beings. In response, Newt Scamander&apos s former professor, Albus Dumbledore, seeks his help to stop him.",8040,6.5,2018,1643,2
145,122082,tt2316204,126889,Alien: Covenant,"The crew of a colony ship, bound for a remote planet, discover an uncharted paradise with a threat beyond their imagination, and must attempt a harrowing escape.",7320,6.4,2017,2373,4
146,120878,tt6139732,420817,Aladdin,"Aladdin, a kind thief, woos Jasmine, the princess of Agrabah, with the help of Genie. When Jafar, the grand vizier, tries to usurp the king, Jasmine, Aladdin and Genie must stop him from succeeding.",7680,6.9,2019,2413,6
147,1619746,tt10370710,660120,The Worst Person in the World,"The chronicles of four years in the life of Julie, a young woman who navigates the troubled waters of her love life and struggles to find her career path, leading her to take a realistic look at who she really is.",7680,7.7,2021,313,1
148,1585128,tt10665338,610253,Halloween Kills,Surviving victims of Michael Myers form a vigilante mob and vow to end his reign of terror.,6300,5.5,2021,2085,4
149,1572987,tt6566576,591273,Fear Street: 1994,A circle of teenage friends accidentally encounter the ancient evil responsible for a series of brutal murders that have plagued their town for over 300 years. Welcome to Shadyside.,6420,6.2,2021,964,3
150,1538334,tt8721424,537116,"tick, tick... BOOM!","On the brink of turning 30, a promising theater composer navigates love, friendship and the pressure to create something great before time runs out.",6900,7.5,2021,549,8
151,1403325,tt7984734,503919,The Lighthouse,Two lighthouse keepers try to maintain their sanity while living on a remote and mysterious New England island in the 1890s.,6540,7.4,2019,1628,3
152,1325730,tt7504818,482321,Ron's Gone Wrong,"The story of Barney, an awkward middle-schooler and Ron, his new walking, talking, digitally-connected device. Ron&apos s malfunctions set against the backdrop of the social media age launch them on a journey to learn about true friend...",6420,7.1,2021,212,6
153,1231641,tt3281548,331482,Little Women,"19th century Massachusetts. While the March sisters - Jo, Meg, Amy, and Beth - enter the threshold of womanhood, they go through many ups and downs in life and endeavor to make important decisions that can affect their future.",8100,7.8,2019,1252,6
154,1540132,tt1051906,570670,The Invisible Man,"When Cecilia&apos s abusive ex takes his own life and leaves her his fortune, she suspects his death was a hoax. As a series of coincidences turn lethal, Cecilia works to prove that she is being hunted by someone nobody can see.",7440,7.1,2020,2055,4
155,1436507,tt1365519,338970,Tomb Raider,"Lara Croft, the fiercely independent daughter of a missing adventurer, must push herself beyond her limits when she discovers the island where her father, Lord Richard Croft disappeared.",7140,6.3,2018,1418,2
156,1397210,tt1959563,390043,The Hitman's Bodyguard,"Michael Bryce, a protection agent, is tasked with protecting Darius Kincaid, one of the world&apos s most famous assassins",7080,6.9,2017,642,4
157,1390790,tt5083738,375262,The Favourite,"In early 18th-century England, the status quo at the court is upset when a new servant arrives and endears herself to a frail Queen Anne.",7140,7.5,2018,1346,3
158,1390755,tt4630562,337339,The Fate of the Furious,"When a mysterious woman seduces Dominic Toretto into the world of terrorism and a betrayal of those closest to him, the crew face trials that will test them as never before.",8160,6.6,2017,696,2
159,1282745,tt5164214,402900,Ocean's Eight,Debbie Ocean gathers an all-female crew to attempt an impossible heist at New York City&apos s annual Met Gala.,6600,6.3,2018,1151,2
160,1261298,tt5109784,381283,mother!,"A couple&apos s relationship is tested when uninvited guests arrive at their home, disrupting their tranquil existence.",7260,6.6,2017,2540,4
161,1229054,tt5442430,395992,Life,A team of scientists aboard the International Space Station discover a rapidly evolving life form that caused extinction on Mars and now threatens all life on Earth.,6240,6.6,2017,1336,4
162,1204816,tt1972591,274857,King Arthur: Legend of the Sword,"Robbed of his birthright, Arthur comes up the hard way in the back alleys of the city. But once he pulls the sword from the stone, he is forced to acknowledge his true legacy - whether he likes it or not.",7560,6.7,2017,1175,4
163,1176462,tt5580036,389015,"I, Tonya","Competitive ice skater Tonya Harding rises amongst the ranks at the U.S. Figure Skating Championships, but her future in the activity is thrown into doubt when her ex-husband intervenes.",7140,7.5,2017,598,1
164,1143678,tt2704998,445571,Game Night,A group of friends who meet regularly for game nights find themselves entangled in a real-life mystery when the shady brother of one of them is seemingly kidnapped by dangerous gangsters.,6000,6.9,2018,699,4
165,1167187,tt6806448,384018,Fast & Furious Presents: Hobbs & Shaw,Lawman Luke Hobbs and outcast Deckard Shaw form an unlikely alliance when a cyber-genetically enhanced villain threatens the future of humanity.,8220,6.5,2019,1426,4
166,1150103,tt3741700,373571,Godzilla: King of the Monsters,"The crypto-zoological agency Monarch faces off against a battery of god-sized monsters, including the mighty Godzilla, who collides with Mothra, Rodan, and his ultimate nemesis, the three-headed King Ghidorah.",7920,6,2019,2363,2
167,152624,tt7349662,487558,BlacKkKlansman,"Ron Stallworth, an African American police officer from Colorado Springs, Colorado, successfully infiltrates the local Ku Klux Klan branch aided by a Jewish surrogate who eventually becomes its leader. Based on actual events.",8100,7.5,2018,967,3
168,1619381,tt13024674,796499,Army of Thieves,"A prequel, set before the events of Army of the Dead, which focuses on German safecracker Ludwig Dieter leading a group of aspiring thieves on a top secret heist during the early stages of the zombie apocalypse.",7620,6.4,2021,514,10
169,1606353,tt9098872,680058,The Rescue,"A chronicle of the enthralling, against-all-odds story that transfixed the world in 2018: the daring rescue of twelve boys and their coach from deep inside a flooded cave in Northern Thailand.",6420,8.3,2021,118,9
170,1583961,tt10633456,615643,Minari,"A Korean American family moves to an Arkansas farm in search of its own American dream. Amidst the challenges of new life in the strange and rugged Ozarks, they discover the undeniable resilience of family and what really makes a ...",6900,7.4,2020,464,2
171,1577548,tt10272386,600354,The Father,"A man refuses all assistance from his daughter as he ages. As he tries to make sense of his changing circumstances, he begins to doubt his loved ones, his own mind and even the fabric of his reality.",5820,8.2,2020,1096,2
172,1564077,tt7846844,497582,Enola Holmes,"When Enola Holmes, Sherlock&apos s sister, discovers her mother is missing, she endeavors to find her, becoming a super-sleuth in her own right as she outwits her famous brother and unravels a dangerous conspiracy.",7380,6.6,2020,1750,8
173,1563661,tt9620292,582014,Promising Young Woman,"Nothing in Cassie&apos s life is what it appears to be - she&apos s wickedly smart, tantalizingly cunning, and she&apos s living a secret double life. Now, an unexpected encounter is about to give Cassie a chance to right the wrongs from the past.",6780,7.5,2020,1255,4
174,1559109,tt7798634,567609,Ready or Not,A bride&apos s wedding night takes a sinister turn when her eccentric new in-laws force her to take part in a terrifying game.,5700,6.9,2019,1263,4
175,1537381,tt1478839,522924,The Art of Racing in the Rain,"Through his bond with his owner, aspiring Formula One race car driver Denny, golden retriever Enzo learns that the techniques needed on the racetrack can also be used to successfully navigate the journey of life.",6540,7.6,2019,385,15
176,1511189,tt3581652,511809,West Side Story,"An adaptation of the 1957 musical, West Side Story explores forbidden love and the rivalry between the Jets and the Sharks, two teenage street gangs of different ethnic backgrounds.",9360,7.1,2021,811,2
178,1106882,tt5606664,501170,Doctor Sleep,"Years following the events of The Shining (1980), a now-adult Dan Torrance must protect a young girl with similar powers from a cult known as The True Knot, who prey on children with powers to remain immortal.",9120,7.3,2019,1763,4
179,1647031,tt14079374,890825,14 Peaks: Nothing Is Impossible,"Fearless Nepali mountaineer Nirmal Purja embarks on a seemingly impossible quest to summit all 14 of the world&apos s 8,000-meter peaks in seven months.",6060,7.7,2021,234,8
180,1472956,tt6565702,320288,Dark Phoenix,"Jean Grey begins to develop incredible powers that corrupt and turn her into a Dark Phoenix, causing the X-Men to have to decide if her life is worth more than all of humanity.",6780,5.7,2019,2286,2
181,1589853,tt11003218,635731,Pig,A truffle hunter who lives alone in the Oregon wilderness must return to his past in Portland in search of his beloved foraging pig after she is kidnapped.,5520,6.9,2021,1031,1
182,1453511,tt2239822,339964,Valerian and the City of a Thousand Planets,"A dark force threatens Alpha, a vast metropolis and home to species from a thousand planets. Special operatives Valerian and Laureline must race to identify the marauding menace and safeguard not just Alpha, but the future of the ...",8160,6.4,2017,1262,2
183,1451780,tt6499752,500664,Upgrade,"Set in the near-future, technology controls nearly all aspects of life. But when the world of Grey, a self-labeled technophobe, is turned upside down, his only hope for revenge is an experimental computer chip implant.",6000,7.5,2018,1410,3
184,1451289,tt6450804,290859,Terminator: Dark Fate,"An augmented human and Sarah Connor must stop an advanced liquid Terminator from hunting down a young girl, whose fate is critical to the human race.",7680,6.2,2019,3267,2
185,1408504,tt2345759,282035,The Mummy,"An ancient Egyptian princess is awakened from her crypt beneath the desert, bringing with her malevolence grown over millennia and terrors that defy human comprehension.",6600,5.4,2017,1103,4
186,1407015,tt4779682,345940,The Meg,A group of scientists exploring the Marianas Trench encounter the largest marine predator that has ever existed - the Megalodon.,6780,5.7,2018,1748,2
187,1400398,tt5715874,399057,The Killing of a Sacred Deer,"Steven, a charismatic surgeon, is forced to make an unthinkable sacrifice after his life starts to fall apart, when the behavior of a teenage boy he has taken under his wing turns sinister.",7260,7,2017,1242,3
189,1389629,tt3766354,345887,The Equalizer 2,"Robert McCall serves an unflinching justice for the exploited and oppressed, but how far will he go when that is someone he loves?",7260,6.7,2018,850,2
190,1348722,tt6467266,438695,Sing 2,Buster Moon and his friends must persuade reclusive rock star Clay Calloway to join them for the opening of a new show.,6600,7.3,2021,446,6
192,1315815,tt2231461,427641,Rampage,"When three different animals become infected with a dangerous pathogen, a primatologist and a geneticist team up to stop them from destroying Chicago.",6420,6.1,2018,768,2
193,1315562,tt5848272,404368,Ralph Breaks the Internet,"On a quest to save the video game &apos Sugar Rush&apos  and to find a replacement, Ralph and his best friend Vanellope travel to the World Wide Web through a Wi-Fi router they find at the arcade.",6720,7,2018,850,6
194,1134425,tt1213641,369972,First Man,"A look at the life of the astronaut, Neil Armstrong, and the legendary space mission that led him to become the first man to walk on the Moon on July 20, 1969.",8460,7.3,2018,1453,2
195,190332,tt4555426,399404,Darkest Hour,"In May 1940, the fate of World War II hangs on Winston Churchill, who must decide whether to negotiate with Adolf Hitler, or fight on knowing that it could mean the end of the British Empire.",7500,7.4,2017,807,2
196,183840,tt3104988,455207,Crazy Rich Asians,This contemporary romantic comedy based on a global bestseller follows native New Yorker Rachel Chu to Singapore to meet her boyfriend&apos s family.,7200,6.9,2018,1275,2
197,1258765,tt4209788,396371,Molly's Game,"The true story of Molly Bloom, an Olympic-class skier who ran the world&apos s most exclusive high-stakes poker game and became an FBI target.",8400,7.4,2017,480,1
198,1141232,tt4520988,330457,Frozen II,"Anna, Elsa, Kristoff, Olaf and Sven leave Arendelle to travel to an ancient, autumn-bound forest of an enchanted land. They set out to find the origin of Elsa&apos s powers in order to save their kingdom.",6180,6.8,2019,1457,6
199,144814,tt1469304,339846,Baywatch,"Devoted lifeguard Mitch Buchannon butts heads with a brash new recruit, as they uncover a criminal plot that threatens the future of the bay.",6960,5.5,2017,545,4
200,140508,tt1502397,38700,Bad Boys for Life,Miami detectives Mike Lowrey and Marcus Burnett must face off against a mother-and-son pair of drug lords who wreak vengeful havoc on their city.,7440,6.5,2020,1278,4
4,1601276,,646380,Don't Look Up,Two low-level astronomers must go on a giant media tour to warn humankind of an approaching comet that will destroy planet Earth.,8280,7.2,2021,4790,3
26,1617157,,508943,Luca,"On the Italian Riviera, an unlikely but strong friendship grows between a human being and a sea monster disguised as a human.",5700,7.4,2021,838,9
34,1578413,,600583,The Power of the Dog,"Charismatic rancher Phil Burbank inspires fear and awe in those around him. When his brother brings home a new wife and her son, Phil torments them until he finds himself exposed to the possibility of love.",7560,6.8,2021,1684,10
67,1357316,,315635,Spider-Man: Homecoming,Peter Parker tries to stop Adrian &apos The Vulture&apos  Toomes from selling weapons made with advanced Chitauri technology while trying to balance his life as an ordinary high school student.,7980,7.4,2017,1491,6
99,1399319,,398978,The Irishman,"An illustration of Frank Sheeran&apos s life, from W.W.II veteran to hit-man for the Bufalino crime family and his alleged assassination of his close friend Jimmy Hoffa.",12540,7.8,2019,2983,10
120,1568247,,522931,Hitman's Wife's Bodyguard,"The bodyguard, Michael Bryce, continues his friendship with assassin, Darius Kincaid, as they try to save Darius&apos  wife Sonia.",6000,6.1,2021,775,4
136,1264068,,392044,Murder on the Orient Express,"When a murder occurs on the train on which he&apos s travelling, celebrated detective Hercule Poirot is recruited to solve the case.",6840,6.5,2017,1114,2
177,1480917,,338967,Zombieland: Double Tap,"Columbus, Tallahassee, Wichita, and Little Rock move to the American heartland as they face off against evolved zombies, fellow survivors, and the growing pains of the snarky makeshift family.",5940,6.7,2019,826,4
188,1399228,,411088,The Invisible Guest,"A young businessman wakes up in a hotel room locked from the inside with the dead body of his lover next to him. He hires a prestigious lawyer, and over one night they work together to clarify what happened in a frenetic race agai...",6360,8,2016,573,10
191,1318524,,401981,Red Sparrow,Prima ballerina Dominika Egorova turns dangerous Sparrow.,8400,6.6,2018,1072,4
201,,tt29623480,1184918,The Wild Robot,"After a shipwreck, an intelligent robot called Roz is stranded on an uninhabited island. To survive the harsh environment, Roz bonds with the island's animals and cares for an orphaned baby goose.",82,8.5,2024,2,1